Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
call_center,Firefox 65.0,,,2019-08-27 21:49:37,2019-08-27 21:51:07,1m - 29.959s,INCOMPLETE
,,,,,,,
Test Cases/Call_Center/Login,Firefox 65.0,,,2019-08-27 21:49:40,2019-08-27 21:49:54,13.928s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 65.0,,,2019-08-27 21:49:40,2019-08-27 21:49:40,0.023s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-08-27 21:49:41,2019-08-27 21:49:51,10.108s,PASSED
"navigateToUrl(""http://call-center-beta.speiyou.net/login"")",Firefox 65.0,,,2019-08-27 21:49:51,2019-08-27 21:49:53,1.915s,PASSED
"setText(findTestObject(""Object Repository/CallCenter/CreateNewStudent/Page_Login/input__username""), username)",Firefox 65.0,,,2019-08-27 21:49:53,2019-08-27 21:49:54,0.345s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CallCenter/CreateNewStudent/Page_Login/input_password""), password)",Firefox 65.0,,,2019-08-27 21:49:54,2019-08-27 21:49:54,0.482s,FAILED
,,,,,,,
Test Cases/Call_Center/Create_New_Student,Firefox 65.0,,,2019-08-27 21:49:54,2019-08-27 21:50:32,37.829s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 65.0,,,2019-08-27 21:49:54,2019-08-27 21:49:54,0.035s,PASSED
"openBrowser("""")",Firefox 65.0,,,2019-08-27 21:49:55,2019-08-27 21:50:06,10.649s,PASSED
navigateToUrl(url),Firefox 65.0,,,2019-08-27 21:50:06,2019-08-27 21:50:08,2.185s,PASSED
maximizeWindow(),Firefox 65.0,,,2019-08-27 21:50:08,2019-08-27 21:50:08,0.291s,PASSED
"setText(findTestObject(""CallCenter/CreateNewStudent/Page_Login/input__username""), ""3018"")",Firefox 65.0,,,2019-08-27 21:50:08,2019-08-27 21:50:08,0.244s,PASSED
"setEncryptedText(findTestObject(""CallCenter/CreateNewStudent/Page_Login/input_password""), ""4nvbrPglk7k="")",Firefox 65.0,,,2019-08-27 21:50:08,2019-08-27 21:50:08,0.212s,PASSED
"click(findTestObject(""CallCenter/Page_Login/btn_login""))",Firefox 65.0,,,2019-08-27 21:50:08,2019-08-27 21:50:09,0.448s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/select_custmor_dropdown""))",Firefox 65.0,,,2019-08-27 21:50:09,2019-08-27 21:50:13,4.483s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/btn_signup""))",Firefox 65.0,,,2019-08-27 21:50:13,2019-08-27 21:50:14,0.598s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/button_addNewStudent""))",Firefox 65.0,,,2019-08-27 21:50:14,2019-08-27 21:50:22,7.648s,PASSED
"setText(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/input_studentName""), stuname)",Firefox 65.0,,,2019-08-27 21:50:22,2019-08-27 21:50:22,0.314s,PASSED
"setText(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/input_birthday""), birthday)",Firefox 65.0,,,2019-08-27 21:50:22,2019-08-27 21:50:22,0.274s,PASSED
userSex(),Firefox 65.0,,,2019-08-27 21:50:22,2019-08-27 21:50:22,0.001s,PASSED
"if (String.valueOf(sex) == ""女"")",Firefox 65.0,,,2019-08-27 21:50:22,2019-08-27 21:50:22,0.001s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/select_city_list_1""))",Firefox 65.0,,,2019-08-27 21:50:22,2019-08-27 21:50:23,0.997s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/li_beiijing""))",Firefox 65.0,,,2019-08-27 21:50:23,2019-08-27 21:50:24,0.575s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/select_city_list_2""))",Firefox 65.0,,,2019-08-27 21:50:24,2019-08-27 21:50:24,0.410s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/li_beijingArea""))",Firefox 65.0,,,2019-08-27 21:50:24,2019-08-27 21:50:25,0.369s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/select_gtade_1""))",Firefox 65.0,,,2019-08-27 21:50:25,2019-08-27 21:50:25,0.354s,PASSED
"click(findTestObject(""CallCenter/CreateNewStudent/Page_Create_New_Student/li_xiaoxue""))",Firefox 65.0,,,2019-08-27 21:50:25,2019-08-27 21:50:26,0.727s,PASSED
